Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C1,CHIP_0402,40.7868mm,66.4819mm,40.7868mm,66.4819mm,40.7868mm,66.9919mm,T,270,100nF
C2,CHIP_0402,59.7126mm,66.4819mm,59.7126mm,66.4819mm,59.7126mm,66.9919mm,T,270,100nF
C3,CHIP_0402,40.7868mm,9.3328mm,40.7868mm,9.3328mm,40.7868mm,9.8428mm,T,270,100nF
C4,CHIP_0402,59.7126mm,9.3328mm,59.7126mm,9.3328mm,59.7126mm,9.8428mm,T,270,100nF
C5,CHIP_0402,78.6384mm,9.3328mm,78.6384mm,9.3328mm,78.6384mm,9.8428mm,T,270,100nF
C6,CHIP_0402,21.861mm,47.5559mm,21.861mm,47.5559mm,21.861mm,48.0659mm,T,270,100nF
C7,CHIP_0402,40.7868mm,47.5559mm,40.7868mm,47.5559mm,40.7868mm,48.0659mm,T,270,100nF
C8,CHIP_0402,59.7126mm,47.5559mm,59.7126mm,47.5559mm,59.7126mm,48.0659mm,T,270,100nF
C9,CHIP_0402,78.6384mm,47.5559mm,78.6384mm,47.5559mm,78.6384mm,48.0659mm,T,270,100nF
C10,CHIP_0402,21.861mm,28.6299mm,21.861mm,28.6299mm,21.861mm,29.1399mm,T,270,100nF
C11,CHIP_0402,40.7868mm,28.6299mm,40.7868mm,28.6299mm,40.7868mm,29.1399mm,T,270,100nF
C12,CHIP_0402,59.7126mm,28.6299mm,59.7126mm,28.6299mm,59.7126mm,29.1399mm,T,270,100nF
C13,CHIP_0402,78.6384mm,28.6299mm,78.6384mm,28.6299mm,78.6384mm,29.1399mm,T,270,100nF
C14,CHIP_0402,47.1843mm,89.0299mm,47.1843mm,89.0299mm,47.6943mm,89.0299mm,T,180,100nF
C15,CHIP_0402,7.1062mm,23.7167mm,7.1062mm,23.7167mm,7.6162mm,23.7167mm,T,180,100nF
C16,CHIP_0402,7.1062mm,22.2323mm,7.1062mm,22.2323mm,7.6162mm,22.2323mm,T,180,100nF
C17,CHIP_0402,8.2194mm,19.6346mm,8.2194mm,19.6346mm,7.7094mm,19.6346mm,T,0,100nF
C18,CHIP_0402,35.3093mm,93.4831mm,35.3093mm,93.4831mm,34.7993mm,93.4831mm,T,0,100nF
C19,CHIP_0402,93.4821mm,59.431mm,93.4821mm,59.431mm,93.4821mm,59.941mm,T,270,100nF
C20,CHIP_0402,59.8015mm,1.4509mm,59.8015mm,1.4509mm,60.3115mm,1.4509mm,T,180,100nF
C21,CHIP_0402,1.4509mm,35.3097mm,1.4509mm,35.3097mm,1.4509mm,34.7997mm,T,90,100nF
C26,CHIP_0603,21.7088mm,26.1543mm,21.7088mm,26.1543mm,22.5338mm,26.1543mm,T,180,4.7uF
C27,CHIP_0402,6.2751mm,18.9814mm,6.2751mm,18.9814mm,6.2751mm,19.4914mm,T,270,1uF
C28,CHIP_0402,11.35mm,13.75mm,11.35mm,13.75mm,10.84mm,13.75mm,B,0,15pF
