Manufacturer,Comment,Designator,Footprint
"Diodes Inc","1N4148W-7-F","D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13","FP_D_SOD_123"
"Abracon","ABM8-8.000MHZ-10-1-U-T","Y1","FP_Crystal_3225"
"Diodes Incorporated","AP2112K-3.3TRG1","U2","SOT5P95X290X160N"
"Yageo","CC0402JRNPO9BN150","C28,C29","CHIP_0402"
"Yageo","CC0402KRX5R6BB105","C27","CHIP_0402"
"Yageo","CC0402KRX7R7BB104","C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21","CHIP_0402"
"Yageo","CC0603KRX5R6BB475","C26","CHIP_0603"
"n/a","COPPER-TOUCH-9MM","TP1","FP_TouchPad"
"Alps Alpine","EC11E15244A5","SW1","FP_Encoder_EC11"
"n/a","MOUNT-M2-PLATED-2.2MM","H1,H2,H3,H4","FP_MountingHole_M2"
"Yageo","RC0402FR-0710KL","R1","CHIP_0402"
"Yageo","RC0402FR-075K1L","R2,R3","CHIP_0402"
"Alps Alpine","RKJXV122400R","J1","FP_Joystick_RKJXV"
"Dongguan OPSCO Optoelectronics","SK6812MINI-E-012","LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED17,LED18,LED19,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED29","FP_LED_SK6812MINI_E"
"Samtec","SSW-103-22-SM-D-VS","J2","FP_Socket_2x3_254_SMD"
"STMicroelectronics","STM32F072CBT6","U3","QFP50P900X900X160_48N"
"HRO","TYPE-C-31-M-12","J3","FP_USB_C_Receptacle_HRO_TYPE_C_31_M_12"
"STMicroelectronics","USBLC6-2SC6","U1","FP_SOT_23_6"
"Work Louder","WL-LP-SW-55G","SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10,SW11,SW12,SW13,SW14,SW15","FP_SW_Choc_V2"
