operation,name,component,padstack,start,end,width,layer,net,position,delta,angle,origin,refdes,symbol,rotation,mirror,symbolType
MOVE_COMPONENT_TO,,U1,,,,,,,7620.406:38401.781,,,,,,,,
MOVE_COMPONENT_TO,,U3,,,,,,,-20822.562:41521.188,,,,,,,,
MOVE_COMPONENT_TO,,J2,,,,,,,-31595.875:45152.562,,,,,,,,
MOVE_COMPONENT_TO,,SW2,,,,,,,-42459.938:1371.312,,,,,,,,
ROTATE_COMPONENT,,SW2,,,,,,,,,180.0,,,,,,
MOVE_COMPONENT_TO,,D1,,,,,,,-10634.281:37972.875,,,,,,,,
ROTATE_COMPONENT,,D1,,,,,,,,,180.0,,,,,,
MOVE_COMPONENT_TO,,D10,,,,,,,-11376.469:45394.750,,,,,,,,
MOVE_COMPONENT_TO,,D11,,,,,,,-18804.469:33154.781,,,,,,,,
ROTATE_COMPONENT,,D11,,,,,,,,,-90.0,,,,,,
MOVE_COMPONENT_TO,,D12,,,,,,,-28452.906:39463.375,,,,,,,,
ROTATE_COMPONENT,,D12,,,,,,,,,-90.0,,,,,,
MOVE_COMPONENT_TO,,D13,,,,,,,-18433.375:25361.812,,,,,,,,
ROTATE_COMPONENT,,D13,,,,,,,,,-90.0,,,,,,
MOVE_COMPONENT_TO,,D2,,,,,,,43174.312:18676.000,,,,,,,,
ROTATE_COMPONENT,,D2,,,,,,,,,180.0,,,,,,
MOVE_COMPONENT_TO,,D3,,,,,,,-37730.250:-24735.844,,,,,,,,
ROTATE_COMPONENT,,D3,,,,,,,,,90.0,,,,,,
MOVE_COMPONENT_TO,,D4,,,,,,,3096.188:-44038.844,,,,,,,,
MOVE_COMPONENT_TO,,D5,,,,,,,-38101.344:44287.594,,,,,,,,
ROTATE_COMPONENT,,D5,,,,,,,,,90.0,,,,,,
MOVE_COMPONENT_TO,,D6,,,,,,,22764.156:43168.188,,,,,,,,
ROTATE_COMPONENT,,D6,,,,,,,,,180.0,,,,,,
MOVE_COMPONENT_TO,,D7,,,,,,,-43661.625:24613.500,,,,,,,,
ROTATE_COMPONENT,,D7,,,,,,,,,180.0,,,,,,
MOVE_COMPONENT_TO,,D8,,,,,,,-249.781:10889.156,,,,,,,,
ROTATE_COMPONENT,,D8,,,,,,,,,90.0,,,,,,
MOVE_COMPONENT_TO,,D9,,,,,,,12002.438:18304.906,,,,,,,,
MOVE_COMPONENT_TO,,C2,,,,,,,-27109.625:42567.094,,,,,,,,
ROTATE_COMPONENT,,C2,,,,,,,,,180.0,,,,,,
MOVE_COMPONENT_TO,,C4,,,,,,,11113.031:38485.062,,,,,,,,
MOVE_COMPONENT_TO,,C5,,,,,,,6199.906:41171.625,,,,,,,,
ROTATE_COMPONENT,,C5,,,,,,,,,90.0,,,,,,
MOVE_COMPONENT_TO,,C6,,,,,,,13339.594:38485.062,,,,,,,,
MOVE_COMPONENT_TO,,C7,,,,,,,6199.906:43398.188,,,,,,,,
ROTATE_COMPONENT,,C7,,,,,,,,,90.0,,,,,,
MOVE_COMPONENT_TO,,C8,,,,,,,8055.375:44511.469,,,,,,,,
ROTATE_COMPONENT,,C8,,,,,,,,,90.0,,,,,,
MOVE_COMPONENT_TO,,C9,,,,,,,9539.750:44882.562,,,,,,,,
ROTATE_COMPONENT,,C9,,,,,,,,,90.0,,,,,,
MOVE_COMPONENT_TO,,C10,,,,,,,15566.156:38485.062,,,,,,,,
MOVE_COMPONENT_TO,,C13,,,,,,,11024.125:44882.562,,,,,,,,
ROTATE_COMPONENT,,C13,,,,,,,,,90.0,,,,,,
MOVE_COMPONENT_TO,,C14,,,,,,,15937.250:39969.438,,,,,,,,
MOVE_COMPONENT_TO,,C15,,,,,,,12508.500:44882.562,,,,,,,,
ROTATE_COMPONENT,,C15,,,,,,,,,90.0,,,,,,
MOVE_COMPONENT_TO,,C16,,,,,,,6571.000:45624.750,,,,,,,,
ROTATE_COMPONENT,,C16,,,,,,,,,90.0,,,,,,
MOVE_COMPONENT_TO,,C17,,,,,,,15937.250:41453.812,,,,,,,,
MOVE_COMPONENT_TO,,C18,,,,,,,13992.875:44511.469,,,,,,,,
ROTATE_COMPONENT,,C18,,,,,,,,,90.0,,,,,,
MOVE_COMPONENT_TO,,C19,,,,,,,15937.250:42938.188,,,,,,,,
MOVE_COMPONENT_TO,,C20,,,,,,,17792.719:38485.062,,,,,,,,
MOVE_COMPONENT_TO,,C21,,,,,,,351.312:35516.312,,,,,,,,
ROTATE_COMPONENT,,C21,,,,,,,,,180.0,,,,,,
MOVE_COMPONENT_TO,,C22,,,,,,,15937.250:44422.562,,,,,,,,
MOVE_COMPONENT_TO,,C23,,,,,,,18163.812:39969.438,,,,,,,,
MOVE_COMPONENT_TO,,C24,,,,,,,18163.812:41453.812,,,,,,,,
MOVE_COMPONENT_TO,,C25,,,,,,,18074.906:36718.500,,,,,,,,
ROTATE_COMPONENT,,C25,,,,,,,,,-90.0,,,,,,
MOVE_COMPONENT_TO,,C26,,,,,,,351.312:34031.938,,,,,,,,
ROTATE_COMPONENT,,C26,,,,,,,,,180.0,,,,,,
MOVE_COMPONENT_TO,,C27,,,,,,,18163.812:42938.188,,,,,,,,
MOVE_COMPONENT_TO,,R1,,,,,,,-14952.438:45624.750,,,,,,,,
ROTATE_COMPONENT,,R1,,,,,,,,,-90.0,,,,,,
MOVE_COMPONENT_TO,,U2,,,,,,,43616.500:500.219,,,,,,,,
ROTATE_COMPONENT,,U2,,,,,,,,,180.0,,,,,,
MOVE_COMPONENT_TO,,C1,,,,,,,42567.094:-2246.344,,,,,,,,
ROTATE_COMPONENT,,C1,,,,,,,,,-90.0,,,,,,
MOVE_COMPONENT_TO,,C3,,,,,,,40429.438:-108.688,,,,,,,,
ROTATE_COMPONENT,,C3,,,,,,,,,180.0,,,,,,
MOVE_COMPONENT_TO,,C12,,,,,,,44051.469:-2246.344,,,,,,,,
ROTATE_COMPONENT,,C12,,,,,,,,,-90.0,,,,,,
MOVE_COMPONENT_TO,,R2,,,,,,,-6417.281:42656.000,,,,,,,,
ROTATE_COMPONENT,,R2,,,,,,,,,-90.0,,,,,,
MOVE_COMPONENT_TO,,C11,,,,,,,16322.750:46002.438,,,,,,,,
MOVE_COMPONENT_TO,,R3,,,,,,,-6417.281:40429.438,,,,,,,,
ROTATE_COMPONENT,,R3,,,,,,,,,90.0,,,,,,
CREATE_PADSTACK,,,VIA_610_305,,,305.105,circle,via,610.210:610.210,,,,,,,,
CREATE_LINE,,,,15427.250000:42938.187500,15427.000000:42938.000000,152.552400,ETCH/F.CU,VBUS,,,,,,,,,
CREATE_LINE,,,,15427.000000:42938.000000,15427.000000:42618.000000,152.552400,ETCH/F.CU,VBUS,,,,,,,,,
CREATE_LINE,,,,15427.000000:42618.000000,15427.000000:42178.696761,152.552400,ETCH/F.CU,VBUS,,,,,,,,,
CREATE_LINE,,,,15427.000000:42178.696761,15427.000000:41774.000000,152.552400,ETCH/F.CU,VBUS,,,,,,,,,
CREATE_LINE,,,,15427.000000:41774.000000,15427.000000:41454.000000,152.552400,ETCH/F.CU,VBUS,,,,,,,,,
CREATE_LINE,,,,15427.000000:41454.000000,15427.000000:41134.000000,152.552400,ETCH/F.CU,VBUS,,,,,,,,,
CREATE_LINE,,,,15427.000000:41134.000000,15427.000000:40694.696761,152.552400,ETCH/F.CU,VBUS,,,,,,,,,
CREATE_LINE,,,,15427.000000:40694.696761,15427.000000:40289.000000,152.552400,ETCH/F.CU,VBUS,,,,,,,,,
CREATE_LINE,,,,15427.000000:40289.000000,15427.000000:39969.000000,152.552400,ETCH/F.CU,VBUS,,,,,,,,,
CREATE_LINE,,,,15427.000000:39969.000000,15427.000000:39649.000000,152.552400,ETCH/F.CU,VBUS,,,,,,,,,
CREATE_LINE,,,,15427.000000:39649.000000,15427.000000:39419.980709,152.552400,ETCH/F.CU,VBUS,,,,,,,,,
CREATE_LINE,,,,15427.000000:39419.980709,15529.674925:39317.305785,152.552400,ETCH/F.CU,VBUS,,,,,,,,,
CREATE_LINE,,,,15529.674925:39317.305785,15529.674925:39311.813419,152.552400,ETCH/F.CU,VBUS,,,,,,,,,
CREATE_LINE,,,,15529.674925:39311.813419,15333.794129:39311.813419,152.552400,ETCH/F.CU,VBUS,,,,,,,,,
CREATE_LINE,,,,15333.794129:39311.813419,15056.000000:39034.019291,152.552400,ETCH/F.CU,VBUS,,,,,,,,,
CREATE_LINE,,,,15056.000000:39034.019291,15056.000000:38805.000000,152.552400,ETCH/F.CU,VBUS,,,,,,,,,
CREATE_LINE,,,,15056.000000:38805.000000,15056.000000:38485.000000,152.552400,ETCH/F.CU,VBUS,,,,,,,,,
CREATE_LINE,,,,15056.000000:38485.000000,15056.000000:38435.000000,152.552400,ETCH/F.CU,VBUS,,,,,,,,,
CREATE_LINE,,,,15056.000000:38435.000000,14475.365700:37854.365700,152.552400,ETCH/F.CU,VBUS,,,,,,,,,
CREATE_LINE,,,,14475.365700:37854.365700,14475.365700:36143.312459,152.552400,ETCH/F.CU,VBUS,,,,,,,,,
CREATE_LINE,,,,14475.365700:36143.312459,10410.667936:32078.614694,152.552400,ETCH/F.CU,VBUS,,,,,,,,,
CREATE_LINE,,,,10410.667936:32078.614694,10410.667936:24121.364697,152.552400,ETCH/F.CU,VBUS,,,,,,,,,
CREATE_LINE,,,,10410.667936:24121.364697,9414.303239:23125.000000,152.552400,ETCH/F.CU,VBUS,,,,,,,,,
