Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C1,CHIP_0402,40.7378mm,67.9173mm,40.7378mm,67.9173mm,40.7378mm,68.4273mm,B,270,100nF
C2,CHIP_0402,61.9791mm,70.4261mm,61.9791mm,70.4261mm,61.4691mm,70.4261mm,B,0,100nF
C3,CHIP_0402,40.7378mm,10.7682mm,40.7378mm,10.7682mm,40.7378mm,11.2782mm,B,270,100nF
C4,CHIP_0402,59.6636mm,10.7682mm,59.6636mm,10.7682mm,59.6636mm,11.2782mm,B,270,100nF
C5,CHIP_0402,78.9605mm,10.7682mm,78.9605mm,10.7682mm,78.9605mm,11.2782mm,B,270,100nF
C6,CHIP_0402,21.812mm,48.9913mm,21.812mm,48.9913mm,21.812mm,49.5013mm,B,270,100nF
C7,CHIP_0402,40.7378mm,48.9913mm,40.7378mm,48.9913mm,40.7378mm,49.5013mm,B,270,100nF
C8,CHIP_0402,61.9791mm,51.5001mm,61.9791mm,51.5001mm,61.4691mm,51.5001mm,B,0,100nF
C9,CHIP_0402,78.9605mm,48.9913mm,78.9605mm,48.9913mm,78.9605mm,49.5013mm,B,270,100nF
C10,CHIP_0402,24.1275mm,32.5741mm,24.1275mm,32.5741mm,23.6175mm,32.5741mm,B,0,100nF
C11,CHIP_0402,43.0533mm,32.5741mm,43.0533mm,32.5741mm,42.5433mm,32.5741mm,B,0,100nF
C12,CHIP_0402,61.9791mm,32.5741mm,61.9791mm,32.5741mm,61.4691mm,32.5741mm,B,0,100nF
C13,CHIP_0402,81.2759mm,32.5741mm,81.2759mm,32.5741mm,80.766mm,32.5741mm,B,0,100nF
C14,CHIP_0402,47.4175mm,88.3276mm,47.4175mm,88.3276mm,47.4175mm,88.8376mm,T,270,100nF
C15,CHIP_0402,1.4019mm,23.0145mm,1.4019mm,23.0145mm,1.4019mm,23.5245mm,B,270,100nF
C16,CHIP_0402,7.3394mm,30.0653mm,7.3394mm,30.0653mm,7.3394mm,29.5553mm,B,90,100nF
C17,CHIP_0402,4.4595mm,17.3591mm,4.4595mm,17.3591mm,4.9695mm,17.3591mm,B,180,100nF
C18,CHIP_0402,36.7447mm,91.5786mm,36.7447mm,91.5786mm,36.2347mm,91.5786mm,T,0,100nF
C19,CHIP_0402,91.5777mm,58.2687mm,91.5777mm,58.2687mm,91.5777mm,58.7787mm,T,270,100nF
C20,CHIP_0402,58.2681mm,2.8863mm,58.2681mm,2.8863mm,58.7781mm,2.8863mm,T,180,100nF
C21,CHIP_0402,3.2574mm,36.7451mm,3.2574mm,36.7451mm,3.2574mm,36.2351mm,T,90,100nF
C26,CHIP_0603,35.0681mm,47.3069mm,35.0681mm,47.3069mm,34.2431mm,47.3069mm,B,0,4.7uF
C27,CHIP_0402,2.5152mm,17.0769mm,2.5152mm,17.0769mm,2.5152mm,17.5869mm,B,270,1uF
C28,CHIP_0402,11.35mm,13.75mm,11.35mm,13.75mm,10.84mm,13.75mm,B,0,15pF
C29,CHIP_0402,4.75mm,16.05mm,4.75mm,16.05mm,4.24mm,16.05mm,B,0,15pF
D1,FP_D_SOD_123,43.025mm,67.375mm,43.025mm,67.375mm,43.025mm,65.8mm,B,90,Diode_1N4148
D2,FP_D_SOD_123,62.075mm,67.375mm,62.075mm,67.375mm,62.075mm,65.8mm,B,90,Diode_1N4148
D3,FP_D_SOD_123,43.025mm,11.725mm,43.025mm,11.725mm,43.025mm,10.15mm,B,90,Diode_1N4148
D4,FP_D_SOD_123,62.075mm,11.725mm,62.075mm,11.725mm,62.075mm,10.15mm,B,90,Diode_1N4148
D5,FP_D_SOD_123,81.125mm,11.725mm,81.125mm,11.725mm,81.125mm,10.15mm,B,90,Diode_1N4148
D6,FP_D_SOD_123,23.975mm,48.325mm,23.975mm,48.325mm,23.975mm,46.75mm,B,90,Diode_1N4148
D7,FP_D_SOD_123,43.025mm,48.325mm,43.025mm,48.325mm,43.025mm,46.75mm,B,90,Diode_1N4148
D8,FP_D_SOD_123,62.075mm,48.325mm,62.075mm,48.325mm,62.075mm,46.75mm,B,90,Diode_1N4148
D9,FP_D_SOD_123,81.125mm,48.325mm,81.125mm,48.325mm,81.125mm,46.75mm,B,90,Diode_1N4148
D10,FP_D_SOD_123,23.975mm,29.275mm,23.975mm,29.275mm,23.975mm,27.7mm,B,90,Diode_1N4148
D11,FP_D_SOD_123,43.025mm,29.275mm,43.025mm,29.275mm,43.025mm,27.7mm,B,90,Diode_1N4148
D12,FP_D_SOD_123,62.075mm,29.275mm,62.075mm,29.275mm,62.075mm,27.7mm,B,90,Diode_1N4148
D13,FP_D_SOD_123,81.125mm,29.275mm,81.125mm,29.275mm,81.125mm,27.7mm,B,90,Diode_1N4148
H1,FP_MountingHole_M2,5.05mm,90.05mm,5.05mm,90.05mm,5.05mm,90.05mm,T,0,MountingHole
H2,FP_MountingHole_M2,90.05mm,90.05mm,90.05mm,90.05mm,90.05mm,90.05mm,T,0,MountingHole
H3,FP_MountingHole_M2,90.05mm,5.05mm,90.05mm,5.05mm,90.05mm,5.05mm,T,0,MountingHole
H4,FP_MountingHole_M2,5.05mm,5.05mm,5.05mm,5.05mm,5.05mm,5.05mm,T,0,MountingHole
J1,FP_Joystick_RKJXV,75.2543mm,77.54mm,77.125mm,77.125mm,68.395mm,79.625mm,T,180,ThumbPointer
J2,FP_Socket_2x3_254_SMD,47.55mm,4.55mm,47.55mm,4.55mm,45.01mm,1.945mm,B,0,Socket_2x3
J3,FP_USB_C_Receptacle_HRO_TYPE_C_31_M_12,47.55mm,89.746mm,47.55mm,93.19mm,44.35mm,89.145mm,B,0,USB_C_Receptacle_2_0
LED1,FP_LED_SK6812MINI_E,31.717mm,91.05mm,31.717mm,91.05mm,28.992mm,90.3mm,T,180,SK6812
LED2,FP_LED_SK6812MINI_E,63.383mm,91.05mm,63.383mm,91.05mm,60.658mm,90.3mm,T,180,SK6812
LED3,FP_LED_SK6812MINI_E,91.05mm,63.383mm,91.05mm,63.383mm,90.3mm,66.108mm,T,90,SK6812
LED4,FP_LED_SK6812MINI_E,91.05mm,31.717mm,91.05mm,31.717mm,90.3mm,34.442mm,T,90,SK6812
LED5,FP_LED_SK6812MINI_E,63.383mm,4.05mm,63.383mm,4.05mm,66.108mm,4.8mm,T,0,SK6812
LED6,FP_LED_SK6812MINI_E,31.717mm,4.05mm,31.717mm,4.05mm,34.442mm,4.8mm,T,0,SK6812
LED7,FP_LED_SK6812MINI_E,4.05mm,31.717mm,4.05mm,31.717mm,4.8mm,28.992mm,T,270,SK6812
LED8,FP_LED_SK6812MINI_E,4.05mm,63.383mm,4.05mm,63.383mm,4.8mm,60.658mm,T,270,SK6812
LED17,FP_LED_SK6812MINI_E,38.02mm,71.19mm,38.02mm,71.19mm,35.295mm,71.94mm,B,180,SK6812
LED18,FP_LED_SK6812MINI_E,57.08mm,71.19mm,57.08mm,71.19mm,54.355mm,71.94mm,B,180,SK6812
LED19,FP_LED_SK6812MINI_E,38.02mm,14.05mm,38.02mm,14.05mm,35.295mm,14.8mm,B,180,SK6812
LED20,FP_LED_SK6812MINI_E,57.08mm,14.05mm,57.08mm,14.05mm,54.355mm,14.8mm,B,180,SK6812
LED21,FP_LED_SK6812MINI_E,76.12mm,14.05mm,76.12mm,14.05mm,73.395mm,14.8mm,B,180,SK6812
LED22,FP_LED_SK6812MINI_E,18.98mm,52.15mm,18.98mm,52.15mm,16.255mm,52.9mm,B,180,SK6812
LED23,FP_LED_SK6812MINI_E,38.02mm,52.15mm,38.02mm,52.15mm,35.295mm,52.9mm,B,180,SK6812
LED24,FP_LED_SK6812MINI_E,57.08mm,52.15mm,57.08mm,52.15mm,54.355mm,52.9mm,B,180,SK6812
LED25,FP_LED_SK6812MINI_E,76.12mm,52.15mm,76.12mm,52.15mm,73.395mm,52.9mm,B,180,SK6812
LED26,FP_LED_SK6812MINI_E,18.98mm,33.09mm,18.98mm,33.09mm,16.255mm,33.84mm,B,180,SK6812
LED27,FP_LED_SK6812MINI_E,38.02mm,33.09mm,38.02mm,33.09mm,35.295mm,33.84mm,B,180,SK6812
LED28,FP_LED_SK6812MINI_E,57.08mm,33.09mm,57.08mm,33.09mm,54.355mm,33.84mm,B,180,SK6812
LED29,FP_LED_SK6812MINI_E,76.12mm,33.09mm,76.12mm,33.09mm,73.395mm,33.84mm,B,180,SK6812
R1,CHIP_0402,5.855mm,18.5613mm,5.855mm,18.5613mm,5.855mm,18.0513mm,T,90,10kohm
R2,CHIP_0402,38.6002mm,87.4966mm,38.6002mm,87.4966mm,38.0902mm,87.4966mm,B,0,5.1kohm
R3,CHIP_0402,54.1861mm,87.4966mm,54.1861mm,87.4966mm,53.6761mm,87.4966mm,T,0,5.1kohm
SW1,FP_Encoder_EC11,18.2607mm,76.125mm,11.975mm,78.625mm,11.975mm,78.625mm,T,0,RotaryEC11
SW3,FP_SW_Choc_V2,38.025mm,77.6417mm,38.025mm,76.125mm,38.025mm,82.025mm,T,0,KeySwitch
