capacitor,bypassed_component,bypassed_pin,capacitance
C36,U1,A1,10000
C35,U1,A2,10000
C5,U1,A3,10000
C29,U4,5,1000
C30,U5,5,10000
C34,U6,19,10000
C40,U6,21,1000
C2,U6,14,4700
C4,U6,52,4700
C3,U6,38,2200
C12,U3,8,100
C8,J2,8,100
C11,J2,9,1000
C9,J2,10,4700
C10,J2,10,100
C33,J4,2,100
C14,LED1,3,100
C15,LED2,3,100
C21,LED8,3,100
C22,LED9,3,100
C23,LED10,3,100
C24,LED11,3,100
C25,LED12,3,100
C26,LED13,3,100
C27,LED14,3,100
C28,LED15,3,100
C16,LED3,3,100
C17,LED4,3,100
C18,LED5,3,100
C19,LED6,3,100
C20,LED7,3,100
C43,LED16,3,100
C44,LED18,3,100
C45,LED20,3,100
C46,LED22,3,100
C47,LED24,3,100
