Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
AE1,FP_ANT_2450AT18B100E,71.55mm,90.05mm,71.55mm,90.05mm,69.85mm,90.05mm,T,0,CeramicAntenna2450
C1,CHIP_0603,121.53mm,0.78mm,121.53mm,0.78mm,120.705mm,0.78mm,T,0,1uF
C2,CHIP_0603,126.49mm,0.78mm,126.49mm,0.78mm,125.665mm,0.78mm,T,0,4.7uF
C3,CHIP_0603,131.45mm,0.78mm,131.45mm,0.78mm,130.625mm,0.78mm,T,0,2.2uF
C4,CHIP_0603,136.41mm,0.78mm,136.41mm,0.78mm,135.585mm,0.78mm,T,0,4.7uF
C5,CHIP_0805,141.57mm,1mm,141.57mm,1mm,140.6575mm,1mm,T,0,10uF
C6,CHIP_0603,146.73mm,0.78mm,146.73mm,0.78mm,145.905mm,0.78mm,T,0,4.7uF
C7,CHIP_0402,151.14mm,0.52mm,151.14mm,0.52mm,150.63mm,0.52mm,T,0,100nF
C8,CHIP_0402,155mm,0.52mm,155mm,0.52mm,154.49mm,0.52mm,T,0,100nF
C9,CHIP_0603,159.41mm,0.78mm,159.41mm,0.78mm,158.585mm,0.78mm,T,0,4.7uF
C10,CHIP_0402,163.82mm,0.52mm,163.82mm,0.52mm,163.31mm,0.52mm,T,0,100nF
C11,CHIP_0603,168.23mm,0.78mm,168.23mm,0.78mm,167.405mm,0.78mm,T,0,1uF
C12,CHIP_0402,172.64mm,0.52mm,172.64mm,0.52mm,172.13mm,0.52mm,T,0,100nF
C13,CHIP_0603,177.05mm,0.78mm,177.05mm,0.78mm,176.225mm,0.78mm,T,0,4.7uF
C14,CHIP_0402,181.46mm,0.52mm,181.46mm,0.52mm,180.95mm,0.52mm,T,0,100nF
C15,CHIP_0402,185.32mm,0.52mm,185.32mm,0.52mm,184.81mm,0.52mm,T,0,100nF
C16,CHIP_0402,189.18mm,0.52mm,189.18mm,0.52mm,188.67mm,0.52mm,T,0,100nF
C17,CHIP_0402,193.04mm,0.52mm,193.04mm,0.52mm,192.53mm,0.52mm,T,0,100nF
C18,CHIP_0402,196.9mm,0.52mm,196.9mm,0.52mm,196.39mm,0.52mm,T,0,100nF
C19,CHIP_0402,200.76mm,0.52mm,200.76mm,0.52mm,200.25mm,0.52mm,T,0,100nF
C20,CHIP_0402,204.62mm,0.52mm,204.62mm,0.52mm,204.11mm,0.52mm,T,0,100nF
C21,CHIP_0402,208.48mm,0.52mm,208.48mm,0.52mm,207.97mm,0.52mm,T,0,100nF
C22,CHIP_0402,212.34mm,0.52mm,212.34mm,0.52mm,211.83mm,0.52mm,T,0,100nF
C23,CHIP_0402,216.2mm,0.52mm,216.2mm,0.52mm,215.69mm,0.52mm,T,0,100nF
C24,CHIP_0402,220.06mm,0.52mm,220.06mm,0.52mm,219.55mm,0.52mm,T,0,100nF
C25,CHIP_0402,223.92mm,0.52mm,223.92mm,0.52mm,223.41mm,0.52mm,T,0,100nF
C26,CHIP_0402,227.78mm,0.52mm,227.78mm,0.52mm,227.27mm,0.52mm,T,0,100nF
C27,CHIP_0402,231.64mm,0.52mm,231.64mm,0.52mm,231.13mm,0.52mm,T,0,100nF
C28,CHIP_0402,120.98mm,4.42mm,120.98mm,4.42mm,120.47mm,4.42mm,T,0,100nF
C29,CHIP_0603,125.39mm,4.68mm,125.39mm,4.68mm,124.565mm,4.68mm,T,0,1uF
C30,CHIP_0805,130.55mm,4.9mm,130.55mm,4.9mm,129.6375mm,4.9mm,T,0,10uF
C31,CHIP_0603,135.71mm,4.68mm,135.71mm,4.68mm,134.885mm,4.68mm,T,0,1uF
C32,CHIP_0402,140.12mm,4.42mm,140.12mm,4.42mm,139.61mm,4.42mm,T,0,1uF
C33,CHIP_0402,143.98mm,4.42mm,143.98mm,4.42mm,143.47mm,4.42mm,T,0,100nF
C34,CHIP_0805,148.59mm,4.9mm,148.59mm,4.9mm,147.6775mm,4.9mm,T,0,10uF
C35,CHIP_0805,153.95mm,4.9mm,153.95mm,4.9mm,153.0375mm,4.9mm,T,0,10uF
C36,CHIP_0805,159.31mm,4.9mm,159.31mm,4.9mm,158.3975mm,4.9mm,T,0,10uF
C37,CHIP_0402,163.92mm,4.42mm,163.92mm,4.42mm,163.41mm,4.42mm,T,0,470nF
C38,CHIP_0603,168.33mm,4.68mm,168.33mm,4.68mm,167.505mm,4.68mm,T,0,1uF
C39,CHIP_0603,173.29mm,4.68mm,173.29mm,4.68mm,172.465mm,4.68mm,T,0,2.2uF
C40,CHIP_0603,178.25mm,4.68mm,178.25mm,4.68mm,177.425mm,4.68mm,T,0,1uF
C41,CHIP_0603,183.21mm,4.68mm,183.21mm,4.68mm,182.385mm,4.68mm,T,0,4.7uF
C42,CHIP_0603,188.17mm,4.68mm,188.17mm,4.68mm,187.345mm,4.68mm,T,0,4.7uF
C43,CHIP_0402,192.58mm,4.42mm,192.58mm,4.42mm,192.07mm,4.42mm,T,0,100nF
C44,CHIP_0402,196.44mm,4.42mm,196.44mm,4.42mm,195.93mm,4.42mm,T,0,100nF
C45,CHIP_0402,200.3mm,4.42mm,200.3mm,4.42mm,199.79mm,4.42mm,T,0,100nF
C46,CHIP_0402,204.16mm,4.42mm,204.16mm,4.42mm,203.65mm,4.42mm,T,0,100nF
C47,CHIP_0402,208.02mm,4.42mm,208.02mm,4.42mm,207.51mm,4.42mm,T,0,100nF
D1,FP_D_SOD_123,24.45mm,44.55mm,24.45mm,44.55mm,24.45mm,42.975mm,B,90,Diode_1N4148
D2,FP_D_SOD_123,43.5mm,44.55mm,43.5mm,44.55mm,43.5mm,42.975mm,B,90,Diode_1N4148
D3,FP_D_SOD_123,24.45mm,6.45mm,24.45mm,6.45mm,24.45mm,4.875mm,B,90,Diode_1N4148
D4,FP_D_SOD_123,43.5mm,6.45mm,43.5mm,6.45mm,43.5mm,4.875mm,B,90,Diode_1N4148
D5,FP_D_SOD_123,62.55mm,6.45mm,62.55mm,6.45mm,62.55mm,4.875mm,B,90,Diode_1N4148
D6,FP_D_SOD_123,81.6mm,6.45mm,81.6mm,6.45mm,81.6mm,4.875mm,B,90,Diode_1N4148
D7,FP_D_SOD_123,100.65mm,6.45mm,100.65mm,6.45mm,100.65mm,4.875mm,B,90,Diode_1N4148
D8,FP_D_SOD_123,82.55mm,62.05mm,82.55mm,62.05mm,82.55mm,60.475mm,B,90,Diode_1N4148
D9,FP_D_SOD_123,97.55mm,58.05mm,97.55mm,58.05mm,97.55mm,56.475mm,B,90,Diode_1N4148
D12,FP_D_SOD_123,62.55mm,44.55mm,62.55mm,44.55mm,62.55mm,42.975mm,B,90,Diode_1N4148
D13,FP_D_SOD_123,81.6mm,44.55mm,81.6mm,44.55mm,81.6mm,42.975mm,B,90,Diode_1N4148
D14,FP_D_SOD_123,100.65mm,44.55mm,100.65mm,44.55mm,100.65mm,42.975mm,B,90,Diode_1N4148
