Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C1,CHIP_0402,30.8183mm,92.1386mm,30.8183mm,92.1386mm,30.8183mm,91.6286mm,T,90,100nF
C2,CHIP_0402,16.3456mm,28.6809mm,16.3456mm,28.6809mm,16.3456mm,29.1909mm,T,270,100nF
C3,CHIP_0402,35.2714mm,28.6809mm,35.2714mm,28.6809mm,35.2714mm,29.1909mm,T,270,100nF
C4,CHIP_0402,54.5683mm,28.6809mm,54.5683mm,28.6809mm,54.5683mm,29.1909mm,T,270,100nF
C5,CHIP_0402,73.4941mm,28.6809mm,73.4941mm,28.6809mm,73.4941mm,29.1909mm,T,270,100nF
C6,CHIP_0402,35.2714mm,9.3838mm,35.2714mm,9.3838mm,35.2714mm,9.8938mm,T,270,100nF
C7,CHIP_0402,54.5683mm,9.3838mm,54.5683mm,9.3838mm,54.5683mm,9.8938mm,T,270,100nF
C8,CHIP_0402,73.4941mm,9.3838mm,73.4941mm,9.3838mm,73.4941mm,9.8938mm,T,270,100nF
C9,CHIP_0402,11.5214mm,86.5722mm,11.5214mm,86.5722mm,11.5214mm,87.0822mm,T,270,100nF
C10,CHIP_0402,53.8261mm,89.1698mm,53.8261mm,89.1698mm,53.8261mm,88.6598mm,T,90,100nF
C11,CHIP_0402,92.1377mm,77.5769mm,92.1377mm,77.5769mm,91.6277mm,77.5769mm,T,0,100nF
C12,CHIP_0402,29.3339mm,92.1386mm,29.3339mm,92.1386mm,29.3339mm,91.6286mm,T,90,100nF
C13,CHIP_0402,92.1377mm,33.7874mm,92.1377mm,33.7874mm,91.6277mm,33.7874mm,T,0,100nF
C14,CHIP_0402,77.5761mm,2.7041mm,77.5761mm,2.7041mm,77.5761mm,3.2141mm,T,270,100nF
C15,CHIP_0402,33.787mm,2.7041mm,33.787mm,2.7041mm,33.787mm,3.2141mm,T,270,100nF
C16,CHIP_0402,8.2705mm,11.5215mm,8.2705mm,11.5215mm,7.7605mm,11.5215mm,T,0,100nF
C17,CHIP_0402,8.2705mm,55.6822mm,8.2705mm,55.6822mm,7.7605mm,55.6822mm,T,0,100nF
C18,CHIP_0402,25.2519mm,91.7675mm,25.2519mm,91.7675mm,25.2519mm,91.2575mm,T,90,100nF
C19,CHIP_0402,47.5175mm,85.0878mm,47.5175mm,85.0878mm,47.5175mm,85.5978mm,T,270,100nF
C20,CHIP_0402,35.2714mm,66.5329mm,35.2714mm,66.5329mm,35.2714mm,67.0429mm,T,270,100nF
C21,CHIP_0402,54.5683mm,66.5329mm,54.5683mm,66.5329mm,54.5683mm,67.0429mm,T,270,100nF
C22,CHIP_0402,16.3456mm,47.6069mm,16.3456mm,47.6069mm,16.3456mm,48.1169mm,T,270,100nF
C23,CHIP_0402,35.2714mm,47.6069mm,35.2714mm,47.6069mm,35.2714mm,48.1169mm,T,270,100nF
C24,CHIP_0402,54.5683mm,47.6069mm,54.5683mm,47.6069mm,54.5683mm,48.1169mm,T,270,100nF
C25,CHIP_0402,73.4941mm,47.6069mm,73.4941mm,47.6069mm,73.4941mm,48.1169mm,T,270,100nF
C26,CHIP_0603,92.0684mm,46.0499mm,92.0684mm,46.0499mm,92.0684mm,46.8249mm,T,270,4.7uF
C27,CHIP_0402,26.7363mm,91.7675mm,26.7363mm,91.7675mm,26.7363mm,91.2575mm,T,90,1uF
C28,CHIP_0402,26.083mm,84.9989mm,26.083mm,84.9989mm,25.573mm,84.9989mm,T,0,15pF
C29,CHIP_0402,20.7988mm,86.5722mm,20.7988mm,86.5722mm,20.7988mm,87.0822mm,T,270,15pF
D1,FP_D_SOD_123,43.025mm,67.375mm,43.025mm,67.375mm,43.025mm,65.725mm,B,90,Diode_1N4148
D2,FP_D_SOD_123,62.075mm,67.375mm,62.075mm,67.375mm,62.075mm,65.725mm,B,90,Diode_1N4148
D3,FP_D_SOD_123,43.025mm,10.225mm,43.025mm,10.225mm,43.025mm,8.575mm,B,90,Diode_1N4148
D4,FP_D_SOD_123,62.075mm,10.225mm,62.075mm,10.225mm,62.075mm,8.575mm,B,90,Diode_1N4148
D5,FP_D_SOD_123,81.125mm,10.225mm,81.125mm,10.225mm,81.125mm,8.575mm,B,90,Diode_1N4148
D6,FP_D_SOD_123,23.975mm,48.325mm,23.975mm,48.325mm,23.975mm,46.675mm,B,90,Diode_1N4148
D7,FP_D_SOD_123,43.025mm,48.325mm,43.025mm,48.325mm,43.025mm,46.675mm,B,90,Diode_1N4148
D8,FP_D_SOD_123,62.075mm,48.325mm,62.075mm,48.325mm,62.075mm,46.675mm,B,90,Diode_1N4148
D9,FP_D_SOD_123,81.125mm,48.325mm,81.125mm,48.325mm,81.125mm,46.675mm,B,90,Diode_1N4148
D10,FP_D_SOD_123,23.975mm,29.275mm,23.975mm,29.275mm,23.975mm,27.625mm,B,90,Diode_1N4148
D11,FP_D_SOD_123,43.025mm,29.275mm,43.025mm,29.275mm,43.025mm,27.625mm,B,90,Diode_1N4148
D12,FP_D_SOD_123,62.075mm,29.275mm,62.075mm,29.275mm,62.075mm,27.625mm,B,90,Diode_1N4148
D13,FP_D_SOD_123,81.125mm,29.275mm,81.125mm,29.275mm,81.125mm,27.625mm,B,90,Diode_1N4148
J3,FP_USB_C_Receptacle_HRO_TYPE_C_31_M_12,47.55mm,89.746mm,47.55mm,93.19mm,50.8mm,89.145mm,T,180,USB_C_Receptacle_2_0
LED1,FP_LED_SK6812MINI_E,14.55mm,89.55mm,14.55mm,89.55mm,11.825mm,88.8mm,T,0,SK6812
LED2,FP_LED_SK6812MINI_E,36.55mm,89.55mm,36.55mm,89.55mm,33.825mm,88.8mm,T,0,SK6812
LED3,FP_LED_SK6812MINI_E,36.55mm,5.55mm,36.55mm,5.55mm,33.825mm,4.8mm,T,0,SK6812
LED4,FP_LED_SK6812MINI_E,14.55mm,5.55mm,14.55mm,5.55mm,11.825mm,4.8mm,T,0,SK6812
LED5,FP_LED_SK6812MINI_E,5.55mm,14.55mm,5.55mm,14.55mm,6.3mm,11.825mm,T,90,SK6812
LED6,FP_LED_SK6812MINI_E,5.55mm,36.55mm,5.55mm,36.55mm,6.3mm,33.825mm,T,90,SK6812
LED7,FP_LED_SK6812MINI_E,5.55mm,58.55mm,5.55mm,58.55mm,6.3mm,55.825mm,T,90,SK6812
LED8,FP_LED_SK6812MINI_E,5.55mm,80.55mm,5.55mm,80.55mm,6.3mm,77.825mm,T,90,SK6812
LED9,FP_LED_SK6812MINI_E,58.55mm,89.55mm,58.55mm,89.55mm,55.825mm,88.8mm,T,0,SK6812
LED10,FP_LED_SK6812MINI_E,80.55mm,89.55mm,80.55mm,89.55mm,77.825mm,88.8mm,T,0,SK6812
LED11,FP_LED_SK6812MINI_E,89.55mm,80.55mm,89.55mm,80.55mm,90.3mm,77.825mm,T,90,SK6812
LED12,FP_LED_SK6812MINI_E,89.55mm,58.55mm,89.55mm,58.55mm,90.3mm,55.825mm,T,90,SK6812
LED13,FP_LED_SK6812MINI_E,89.55mm,36.55mm,89.55mm,36.55mm,90.3mm,33.825mm,T,90,SK6812
LED14,FP_LED_SK6812MINI_E,89.55mm,14.55mm,89.55mm,14.55mm,90.3mm,11.825mm,T,90,SK6812
LED15,FP_LED_SK6812MINI_E,80.55mm,5.55mm,80.55mm,5.55mm,77.825mm,4.8mm,T,0,SK6812
LED16,FP_LED_SK6812MINI_E,58.55mm,5.55mm,58.55mm,5.55mm,55.825mm,4.8mm,T,0,SK6812
LED17,FP_LED_SK6812MINI_E,38.02mm,71.19mm,38.02mm,71.19mm,35.295mm,70.44mm,T,0,SK6812
LED18,FP_LED_SK6812MINI_E,57.08mm,71.19mm,57.08mm,71.19mm,54.355mm,70.44mm,T,0,SK6812
LED19,FP_LED_SK6812MINI_E,38.02mm,14.05mm,38.02mm,14.05mm,35.295mm,13.3mm,T,0,SK6812
LED20,FP_LED_SK6812MINI_E,57.08mm,14.05mm,57.08mm,14.05mm,54.355mm,13.3mm,T,0,SK6812
LED21,FP_LED_SK6812MINI_E,76.12mm,14.05mm,76.12mm,14.05mm,73.395mm,13.3mm,T,0,SK6812
LED22,FP_LED_SK6812MINI_E,18.98mm,52.15mm,18.98mm,52.15mm,16.255mm,51.4mm,T,0,SK6812
LED23,FP_LED_SK6812MINI_E,38.02mm,52.15mm,38.02mm,52.15mm,35.295mm,51.4mm,T,0,SK6812
LED24,FP_LED_SK6812MINI_E,57.08mm,52.15mm,57.08mm,52.15mm,54.355mm,51.4mm,T,0,SK6812
LED25,FP_LED_SK6812MINI_E,76.12mm,52.15mm,76.12mm,52.15mm,73.395mm,51.4mm,T,0,SK6812
LED26,FP_LED_SK6812MINI_E,18.98mm,33.09mm,18.98mm,33.09mm,16.255mm,32.34mm,T,0,SK6812
LED27,FP_LED_SK6812MINI_E,38.02mm,33.09mm,38.02mm,33.09mm,35.295mm,32.34mm,T,0,SK6812
LED28,FP_LED_SK6812MINI_E,57.08mm,33.09mm,57.08mm,33.09mm,54.355mm,32.34mm,T,0,SK6812
LED29,FP_LED_SK6812MINI_E,76.12mm,33.09mm,76.12mm,33.09mm,73.395mm,32.34mm,T,0,SK6812
R1,CHIP_0402,28.6806mm,84.2567mm,28.6806mm,84.2567mm,28.1706mm,84.2567mm,T,0,10kohm
R2,CHIP_0402,55.6816mm,92.5097mm,55.6816mm,92.5097mm,55.6816mm,93.0197mm,T,270,5.1kohm
R3,CHIP_0402,40.8378mm,86.5722mm,40.8378mm,86.5722mm,40.8378mm,87.0822mm,T,270,5.1kohm
SW2,FP_SW_Reset,30.0717mm,87.9211mm,30.0717mm,87.9211mm,30.7917mm,89.7211mm,T,270,ResetSwitch
U1,FP_SOT_23_6,54.55mm,86.05mm,54.55mm,86.05mm,53.4125mm,87mm,T,0,USBLC6
U2,SOT5P95X290X160N,91.0208mm,49.2402mm,90.7933mm,49.2402mm,91.9308mm,48.2902mm,T,180,AP2112K_3V3
U3,QFP50P900X900X160_48N,29.55mm,88.55mm,29.55mm,88.55mm,25.3875mm,85.8mm,B,0,STM32F072CBT6
Y1,FP_Crystal_3225,25.4897mm,88.1987mm,25.4897mm,88.1987mm,26.2897mm,87.0987mm,T,90,Crystal8MHz
